Toyota Camry/$ 9 500/"https://im.mashina.kg/tachka/images//6/4/2/6429ec20c66355d2b055ce4ba4d48c66_240x180.jpg"/2004 г., 2.4 л., автомат/седан, бензин/руль слева, 185 000 км
Volkswagen Golf/$ 8 300/"https://im.mashina.kg/tachka/images//b/2/5/b258d24c7bc058ba9a4b3c510c01bcf1_240x180.jpg"/2010 г., 1.6 л., робот/хэтчбек 5 дв., бензин/руль слева, 175 000 км
Kia Ray/$ 6 950/"https://im.mashina.kg/tachka/images//f/1/0/f10d53a4a20ffda6f43b9b7c5798294c_240x180.jpg"/2013 г., 1 л., автомат/минивэн, бензин/руль слева, 85 000 км
Dodge Caravan/$ 3 800/"https://im.mashina.kg/tachka/images//d/7/a/d7a07bc667be16d58146e96ef4898643_240x180.jpg"/1998 г., 3 л., автомат/минивэн, бензин/руль слева, 112 000 км
Mercedes-Benz CLK-класс/$ 6 000/"https://im.mashina.kg/tachka/images//d/f/5/df59838d4b606bf4a251d8b2225c16dc_240x180.jpg"/1997 г., 3.2 л., автомат/купе, бензин/руль слева, 248 000 км
Lexus GX/$ 18 800/"https://im.mashina.kg/tachka/images//3/6/a/36a5e4ddbaac245c9697867bb819e8cf_240x180.jpg"/2005 г., 4.7 л., автомат/внедорожник 5 дв., бензин/руль слева
Cadillac Escalade/$ 24 000/"https://im.mashina.kg/tachka/images//7/b/a/7ba4853b9c7647796495ed4c17a92c20_240x180.jpg"/2011 г., 6.2 л., автомат/внедорожник 5 дв., бензин/руль слева, 145 000 км
Audi Q7/$ 39 800/"https://im.mashina.kg/tachka/images//5/6/c/56c9f33bcbdd3504a7fed51c717f4aef_240x180.jpg"/2016 г., 3 л., автомат/внедорожник 5 дв., бензин/руль слева
Toyota Camry/$ 16 500/"https://im.mashina.kg/tachka/images//4/a/0/4a08fc8644b75c6ff930039c651b082d_240x180.jpg"/2016 г., 2.5 л., автомат/седан, бензин/руль слева, 123 000 км
Hyundai Sonata/$ 15 000/"https://im.mashina.kg/tachka/images//e/1/8/e1849f7e2b0c5d81a56696f468e06af4_240x180.jpg"/2017 г., 2.4 л., автомат/седан, бензин/руль слева, 25 031 км
